active,origin_status,origin_confidence,verified_fork_false,media_type,model_family,repo,url,priority,tier,repo_quality_score,source_role,specialization,use_case,verification_note,notes,source_kind,license_spdx,license_verified,verified_at,prompt_count_claimed,prompt_count_verified,content_structure_verified,evidence_url
False,candidate,0.66,False,image,multi_image,photoshootapp/product-photoshoot-prompts,https://github.com/photoshootapp/product-photoshoot-prompts.git,2,B,74,specialized,product_photography,product_photography|ecommerce,Potentially useful product prompt repo; origin and prompt volume pending verification.,,watchlist,UNKNOWN,,,,,,
False,candidate,0.6,False,image,gpt_image_2_work,g0dam/Awesome-GPT-Image-2-Work-Prompts,https://github.com/g0dam/Awesome-GPT-Image-2-Work-Prompts.git,3,C,72,supplemental,Work/productivity visual prompts,Work/productivity visual prompts,From v2 curated set; exact origin genealogy not exhaustively proven.,Large specialized GPT Image 2 collection.,watchlist,UNKNOWN,,,,,,
False,candidate,0.62,False,image,multi_image,ConnieDAYU/xiaohongshu-image-orchestrator,https://github.com/ConnieDAYU/xiaohongshu-image-orchestrator.git,3,C,68,tooling,social_media,social_media|xiaohongshu|content_cards,Social image orchestration patterns; prompt corpus status pending.,,tooling,UNKNOWN,,,,,,
False,candidate,0.6,False,image,multi_image,JeremyGDM/awesome-ai-product-photography-prompts,https://github.com/JeremyGDM/awesome-ai-product-photography-prompts.git,3,C,70,specialized,product_photography,product_photography,Same theme/name as Cliprise; kept watchlist until genealogy/content diff check.,,watchlist,UNKNOWN,,,,,,
False,candidate,0.62,False,image,multi_image,aithink001/ai-perfume-product-photography-prompts,https://github.com/aithink001/ai-perfume-product-photography-prompts.git,3,C,69,specialized,perfume_product_photography,product_photography|perfume|luxury_ads,Narrow product specialization; useful as watchlist corpus.,,watchlist,UNKNOWN,,,,,,
False,candidate,0.65,False,image,multi_image,felipealmeidasid/Pack-skills-for-archviz,https://github.com/felipealmeidasid/Pack-skills-for-archviz.git,3,C,70,tooling,archviz,architecture|interior|visualization,"Archviz skill pack; useful prompt-pattern source, not guaranteed prompt corpus.",,tooling,UNKNOWN,,,,,,
False,candidate,0.6,False,image,multi_image,thriv-es/prompt-builder,https://github.com/thriv-es/prompt-builder.git,3,C,70,tooling,prompt_builder,infographic|image_prompt_composition,"Prompt builder/tooling; useful for composition patterns, not guaranteed corpus.",,tooling,UNKNOWN,,,,,,
False,candidate,0.62,False,image,multi_image,windcoldpeople/architecture-prompt-generator,https://github.com/windcoldpeople/architecture-prompt-generator.git,3,C,68,tooling,architecture,architecture|interior|archviz,Prompt generator rather than large corpus; kept for architecture prompt patterns.,,tooling,UNKNOWN,,,,,,
False,candidate,0.6,False,image,multi_image,xiaoqi419/awesome-ai-image-prompts,https://github.com/xiaoqi419/awesome-ai-image-prompts.git,3,C,70,supplemental,Broad AI image prompts,Broad AI image prompts,From v2 curated set; exact origin genealogy not exhaustively proven.,Additional broad image prompt source.,watchlist,UNKNOWN,,,,,,
False,candidate,0.68,False,video,multi_video,Reviral-ai/awesome-ai-ugc-ad-prompts,https://github.com/Reviral-ai/awesome-ai-ugc-ad-prompts.git,2,B,76,specialized,ugc_ads,ugc|ads|creator_marketing,Useful specialization but origin/overlap with other UGC repos not yet verified.,,watchlist,UNKNOWN,,,,,,
