active,origin_status,origin_confidence,verified_fork_false,media_type,model_family,repo,url,priority,tier,repo_quality_score,source_role,specialization,use_case,verification_note,notes,source_kind,license_spdx,license_verified,verified_at,prompt_count_claimed,prompt_count_verified,content_structure_verified,evidence_url
True,probable_original,0.9,False,image,flux,Anil-matcha/awesome-flux-3-api-prompts,https://github.com/Anil-matcha/awesome-flux-3-api-prompts.git,1,A,92,primary,flux,flux,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,flux,imagineVid/Awesome-flux-3-prompts-and-skills,https://github.com/imagineVid/Awesome-flux-3-prompts-and-skills.git,1,A,92,primary,flux,flux,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,gpt_image_2,Toolcentral-ai/awesome-gpt-image-2-prompts,https://github.com/Toolcentral-ai/awesome-gpt-image-2-prompts.git,1,A,92,primary,gpt_image_2,gpt_image_2,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,gpt_image_2,gptimage2prompts/gpt-image-2-prompts,https://github.com/gptimage2prompts/gpt-image-2-prompts.git,1,A,92,primary,gpt_image_2,gpt_image_2,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,midjourney,HebeDich/awesome-midjourney-prompts,https://github.com/HebeDich/awesome-midjourney-prompts.git,1,A,92,primary,midjourney,midjourney,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,midjourney_v7,Pixmind-io/awesome-midjourney-v7-example-prompts,https://github.com/Pixmind-io/awesome-midjourney-v7-example-prompts.git,1,A,92,primary,midjourney_v7,midjourney_v7,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,multi_image,AIGC-Hackers/awesome-ai-image-prompts-claude,https://github.com/AIGC-Hackers/awesome-ai-image-prompts-claude.git,1,A,92,primary,multi_image,multi_image,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,multi_image,Lizhizhiyi/awesome-ai-image-prompts,https://github.com/Lizhizhiyi/awesome-ai-image-prompts.git,1,A,92,primary,multi_image,multi_image,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,nano_banana,JimmyLv/awesome-nano-banana,https://github.com/JimmyLv/awesome-nano-banana.git,1,A,92,primary,nano_banana,nano_banana,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
True,probable_original,0.9,False,image,nano_banana_pro,YouMind-OpenLab/awesome-nano-banana-pro-prompts,https://github.com/YouMind-OpenLab/awesome-nano-banana-pro-prompts.git,1,A,92,primary,nano_banana_pro,nano_banana_pro,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,False,,,,,
