class_v2,metadata_score,repo,media_type,model_family,repo_quality_score,source_role,specialization,use_case,source_kind,license_spdx,origin_status,class_reason,url
CORE,81.25,wuyoscar/GPT-Image2-Skill,image,gpt_image_2,97,primary,prompt_library|agent_skill|image_editing,general_image|image_editing|research_figures|prompt_templates,corpus,MIT,verified_original,CORE25; primary; verified-origin,https://github.com/wuyoscar/GPT-Image2-Skill.git
CORE,81.1,quanluo/ltx-video-prompts,video,ltx_video,84,primary,ltx_video|reproducible_prompt_cookbook,text_to_video|cinematic|reproducibility,corpus,MIT,verified_original,CORE25; primary; video/business; verified-origin,https://github.com/quanluo/ltx-video-prompts.git
CORE,80.5,EvoLinkAI/awesome-ideogram-4.0-prompts,image,ideogram,92,primary,ideogram_4|typography|product_ui_mockups,typography|poster|portrait|product|ui_mockup,corpus,NOASSERTION,verified_original,CORE25; primary; commerce-fit; verified-origin,https://github.com/EvoLinkAI/awesome-ideogram-4.0-prompts.git
CORE,79.85,OSideMedia/higgsfield-ai-prompt-skill,video,higgsfield,89,tool,higgsfield|seedance_2_5|kling_motion_control|cinematic_prompting|character_consistency,ai_filmmaking|cinematic|motion_control|character_consistency|video_edit_extend,tooling,MIT,verified_original,CORE25; video/business; verified-origin,https://github.com/OSideMedia/higgsfield-ai-prompt-skill.git
CORE,77.85,jijiutong/ai-visual-director,video,multi_video,89,tooling,storyboard|cinematic_direction|multi_platform_video,storyboard|characters|scenes|cinematic_shots|video_prompting,tooling,MIT,verified_original,CORE25; video/business; verified-origin,https://github.com/jijiutong/ai-visual-director.git
CORE,75.7,jamez-bondos/awesome-gpt4o-images,image,gpt4o_gpt_image_1,96,primary,gpt4o|gpt_image_1|curated_gallery,general_image|art|prompt_examples,corpus,NOASSERTION,verified_original,CORE25; primary; verified-origin,https://github.com/jamez-bondos/awesome-gpt4o-images.git
CORE,70.7,cliprise/awesome-ai-ugc-video-prompts,video,multi_video,82,specialized,ugc_video,ugc|creator_ads|tiktok|reels|product_demo,corpus,UNKNOWN,verified_original,CORE25; video/business; commerce-fit; verified-origin,https://github.com/cliprise/awesome-ai-ugc-video-prompts.git
CORE,69.6,cliprise/awesome-ai-product-photography-prompts,image,multi_image,80,specialized,product_photography,product_photography|ecommerce,corpus,UNKNOWN,verified_original,CORE25; commerce-fit; verified-origin,https://github.com/cliprise/awesome-ai-product-photography-prompts.git
CORE,67.6,Anil-matcha/awesome-flux-3-api-prompts,image,flux,92,primary,flux,flux,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/Anil-matcha/awesome-flux-3-api-prompts.git
CORE,67.6,flaqai/awesome_wan-3-0-prompts,video,wan_3,92,primary,wan_3,wan_3,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/flaqai/awesome_wan-3-0-prompts.git
