active,origin_status,origin_confidence,verified_fork_false,media_type,model_family,repo,url,priority,tier,repo_quality_score,source_role,specialization,use_case,verification_note,notes,source_kind,license_spdx,license_verified,verified_at,prompt_count_claimed,prompt_count_verified,content_structure_verified,evidence_url
True,probable_original,0.9,False,image,flux,Anil-matcha/awesome-flux-3-api-prompts,https://github.com/Anil-matcha/awesome-flux-3-api-prompts.git,1,A,92,primary,flux,flux,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,flux,imagineVid/Awesome-flux-3-prompts-and-skills,https://github.com/imagineVid/Awesome-flux-3-prompts-and-skills.git,1,A,92,primary,flux,flux,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,gpt_image_2,Toolcentral-ai/awesome-gpt-image-2-prompts,https://github.com/Toolcentral-ai/awesome-gpt-image-2-prompts.git,1,A,92,primary,gpt_image_2,gpt_image_2,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,gpt_image_2,gptimage2prompts/gpt-image-2-prompts,https://github.com/gptimage2prompts/gpt-image-2-prompts.git,1,A,92,primary,gpt_image_2,gpt_image_2,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,midjourney,HebeDich/awesome-midjourney-prompts,https://github.com/HebeDich/awesome-midjourney-prompts.git,1,A,92,primary,midjourney,midjourney,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,midjourney_v7,Pixmind-io/awesome-midjourney-v7-example-prompts,https://github.com/Pixmind-io/awesome-midjourney-v7-example-prompts.git,1,A,92,primary,midjourney_v7,midjourney_v7,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,multi_image,AIGC-Hackers/awesome-ai-image-prompts-claude,https://github.com/AIGC-Hackers/awesome-ai-image-prompts-claude.git,1,A,92,primary,multi_image,multi_image,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,multi_image,Lizhizhiyi/awesome-ai-image-prompts,https://github.com/Lizhizhiyi/awesome-ai-image-prompts.git,1,A,92,primary,multi_image,multi_image,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,nano_banana,JimmyLv/awesome-nano-banana,https://github.com/JimmyLv/awesome-nano-banana.git,1,A,92,primary,nano_banana,nano_banana,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,nano_banana_pro,YouMind-OpenLab/awesome-nano-banana-pro-prompts,https://github.com/YouMind-OpenLab/awesome-nano-banana-pro-prompts.git,1,A,92,primary,nano_banana_pro,nano_banana_pro,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,seedream_4_5,YouMind-OpenLab/awesome-seedream-4.5,https://github.com/YouMind-OpenLab/awesome-seedream-4.5.git,1,A,92,primary,seedream_4_5,seedream_4_5,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,seedream_5_pro,imagineVid/Awesome-seedream-5-pro-prompts-and-skills,https://github.com/imagineVid/Awesome-seedream-5-pro-prompts-and-skills.git,1,A,92,primary,seedream_5_pro,seedream_5_pro,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.9,False,image,stable_diffusion,xutongbao/awesome-stable-diffusion-prompts,https://github.com/xutongbao/awesome-stable-diffusion-prompts.git,1,A,92,primary,stable_diffusion,stable_diffusion,From v2 curated set; exact origin genealogy not exhaustively proven.,Previously selected canonical/primary candidate; mirrors excluded where identified.,corpus,UNKNOWN,,,,,,
True,probable_original,0.8,False,image,flux_3,flaqai/awesome-flux-3-prompts,https://github.com/flaqai/awesome-flux-3-prompts.git,2,B,80,supplemental,flux_3,general_image,Model-specific Flux 3 prompt collection.,,corpus,UNKNOWN,,,,,,
True,probable_original,0.78,False,image,gpt_image_2,EvoLinkAI/awesome-gpt-image-2-API-and-Prompts,https://github.com/EvoLinkAI/awesome-gpt-image-2-API-and-Prompts.git,2,B,86,supplemental,GPT Image 2 API + prompt examples,GPT Image 2 API + prompt examples,From v2 curated set; exact origin genealogy not exhaustively proven.,Large GPT Image 2 API/prompt collection.,corpus,UNKNOWN,,,,,,
True,probable_original,0.78,False,image,gpt_image_2,Pixmind-io/awesome-gpt-image-2-prompts,https://github.com/Pixmind-io/awesome-gpt-image-2-prompts.git,2,B,84,supplemental,GPT Image 2 examples,GPT Image 2 examples,From v2 curated set; exact origin genealogy not exhaustively proven.,Large GPT Image 2 prompt/example repository.,corpus,UNKNOWN,,,,,,
True,probable_original,0.82,False,image,gpt_image_2_commercial,JoeSai/awesome-gpt-image-2-commercial-prompts,https://github.com/JoeSai/awesome-gpt-image-2-commercial-prompts.git,2,B,83,specialized,Commercial/advertising prompts,Commercial/advertising prompts,From v2 curated set; exact origin genealogy not exhaustively proven.,Commercial prompt specialization.,corpus,UNKNOWN,,,,,,
True,probable_original,0.82,False,image,ideogram_4,Maritaminded209/awesome-ideogram-4.0-prompts,https://github.com/Maritaminded209/awesome-ideogram-4.0-prompts.git,2,B,78,specialized,Ideogram 4.0 prompts,Ideogram 4.0 prompts,From v2 curated set; exact origin genealogy not exhaustively proven.,Dedicated Ideogram 4.0 prompt repository.,corpus,UNKNOWN,,,,,,
