source_id,repo_owner,repo_name,github_url,file_path,license_spdx,usage_class,attribution_required,share_alike,noncommercial_only,stars,last_commit,retrieved_at,source_commit_sha,sha256
1,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,LICENSE,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,b70d71e24e40fce5da8f4b6f9cd862096a048e433db7f3c8cac5e348e6d34591
2,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,README.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,fb54b4593f40ad8ac83e556968c3af57d4e53c31d3d6fc06aae4f40ee5d42f6f
3,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,VERSIONS.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,655377be5cc15514c634bc4fb0ddee456a2cc39e9211d7d567c5bd1c8ba01472
4,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,e5b0cd0bc6bf55ab2abd02ca399fa996b67324cbda0dd1a719689e9322ba6808
5,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/evals/evals.json,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,c1bff508773383ce642aa8ca1f1eb0b02b6af361091f3868bf85c9713c775742
6,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/creative-review-page.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,dbf69e95e79cd06b48a878077ccec66f0b84932372b7c63396b6648b55aa34b1
7,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/creative-roadmap.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,a0be737841d8a73f0cf02094c9ed1e3f7c050e1c6f867794b1fa8b64dbf3b50e
8,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/generative-tools.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,c95da2868f39eb10091898271057fa64107bff61a701a046437c8fce4026381f
9,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/hook-system.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,fc5db396eb43d7616ba55e58005f30fac5d0539542bd46cd60e6cf4666bd4de2
10,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/imessage-video-ads.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,89ed0d9a8802280f36cdf35fd049ec26e4bf5a22cd68037f1b8f4ca67475d1ac
