repo,category,sns_directness_score,capability,sns_use_case,stars,fork,archived,license_spdx,language,updated_at,pushed_at,metadata_status,stars_rank,recommended_score,recommended_rank
AUTOMATIC1111/stable-diffusion-webui,ai_image_engine,75,"Stable Diffusion generation, img2img, extensions, upscaling","AI thumbnail, product image, social creative",164765,False,False,AGPL-3.0,Python,2026-09-01T22:27:24Z,2026-03-02T07:00:53Z,verified_spotcheck,,,
Comfy-Org/ComfyUI,ai_image_engine,82,Node-based generative AI workflow engine,"AI thumbnail, batch social creative, reproducible workflows",131070,False,False,GPL-3.0,Python,2026-09-01T23:19:06Z,2026-09-01T23:09:43Z,verified_spotcheck,,,
huggingface/diffusers,ai_image_engine,68,Diffusion pipelines and model toolkit,"Custom AI creative pipeline, product/social generation",,,,,,,,needs_refresh,,,
lllyasviel/Fooocus,ai_image_engine,86,Simplified high-quality image generation UI,Fast AI thumbnail and social image generation,,,,,,,,needs_refresh,,,
invoke-ai/InvokeAI,ai_image_engine,84,Professional generative image canvas and workflows,"Thumbnail, ads, inpainting, product creative",,,,,,,,needs_refresh,,,
lllyasviel/ControlNet,ai_control,72,Structural control for diffusion generation,Pose/layout-controlled social creative,,,,,,,,needs_refresh,,,
Mikubill/sd-webui-controlnet,ai_control,78,ControlNet extension for A1111,Layout/pose control for thumbnails,,,,,,,,needs_refresh,,,
lllyasviel/stable-diffusion-webui-forge,ai_image_engine,83,Optimized Stable Diffusion WebUI,Fast AI creative generation,,,,,,,,needs_refresh,,,
mcmonkeyprojects/SwarmUI,ai_image_engine,82,Multi-backend generative AI UI,"Batch thumbnails, image workflows",,,,,,,,needs_refresh,,,
Acly/krita-ai-diffusion,design_ai,88,Generative AI integration in Krita,Editable social creatives and product assets,,,,,,,,needs_refresh,,,
easydiffusion/easydiffusion,ai_image_engine,78,Easy local Stable Diffusion UI,Quick thumbnails and promotional visuals,,,,,,,,needs_refresh,,,
Sanster/IOPaint,image_editing_ai,91,AI image inpainting/outpainting/removal,"Product cleanup, thumbnail editing",,,,,,,,needs_refresh,,,
TencentARC/PhotoMaker,identity_image_ai,82,Personalized photo generation,Creator/UGC thumbnail portraits,,,,,,,,needs_refresh,,,
InstantID/InstantID,identity_image_ai,84,Identity-preserving generation,"Creator thumbnails, consistent faces",,,,,,,,needs_refresh,,,
cubiq/ComfyUI_IPAdapter_plus,ai_control,82,Reference-image control nodes for ComfyUI,Brand/product reference consistency,,,,,,,,needs_refresh,,,
TencentARC/BrushNet,image_editing_ai,72,Image inpainting/editing model,Selective creative editing,,,,,,,,needs_refresh,,,
ostris/ai-toolkit,ai_training,67,Training and fine-tuning toolkit,Brand/product LoRA workflows,,,,,,,,needs_refresh,,,
remotion-dev/remotion,programmatic_video,92,Programmatic video generation with React,"Short product ads, Reels, Shorts, motion thumbnails",58012,False,False,NOASSERTION,TypeScript,2026-09-01T23:03:06Z,2026-09-01T19:59:31Z,verified_spotcheck,,,
penpot/penpot,design_engine,79,Open source design platform,Reusable social templates and layouts,,,,,,,,needs_refresh,,,
fabricjs/fabric.js,canvas_engine,84,Canvas object model and rendering,Template-based social card generator,,,,,,,,needs_refresh,,,
konvajs/konva,canvas_engine,84,2D canvas framework,Interactive thumbnail/banner editor,,,,,,,,needs_refresh,,,
lovell/sharp,image_processing,82,High-performance Node image processing,"Resize, composite, text/image pipeline",,,,,,,,needs_refresh,,,
Automattic/node-canvas,canvas_engine,78,Canvas implementation for Node.js,Server-side social image rendering,,,,,,,,needs_refresh,,,
jimp-dev/jimp,image_processing,76,JavaScript image processing,"Simple compositing, resizing, overlays",,,,,,,,needs_refresh,,,
nhn/tui.image-editor,image_editor,82,Browser image editor,Manual/templated thumbnail editing,,,,,,,,needs_refresh,,,
imgproxy/imgproxy,image_processing,72,Fast image resizing and processing server,Dynamic social variants and aspect ratios,,,,,,,,needs_refresh,,,
thumbor/thumbor,image_processing,70,Smart imaging service,"Dynamic crops, thumbnails, transformations",,,,,,,,needs_refresh,,,
ImageMagick/ImageMagick,image_processing,62,General image manipulation toolkit,"Batch banners, composites, text overlays",,,,,,,,needs_refresh,,,
python-pillow/Pillow,image_processing,65,Python Imaging Library fork,Programmatic social image generation,,,,,,,,needs_refresh,,,
yisibl/resvg-js,render_engine,74,SVG renderer for Node.js,SVG social card rendering,,,,,,,,needs_refresh,,,
vercel/satori,social_render_engine,96,HTML/CSS to SVG renderer for OG images,"Open Graph, social card, thumbnail generation",13891,False,False,MPL-2.0,TypeScript,2026-09-01T13:17:54Z,2026-08-24T12:48:10Z,verified_spotcheck,,,
vercel/og-image,social_card_generator,98,Open Graph image as a service,Direct social preview and card generation,,,,,,,,needs_refresh,,,
kvnang/workers-og,social_card_generator,95,Cloudflare Workers OG image generation,Serverless social/OG cards,,,,,,,,needs_refresh,,,
simonhamp/the-og,social_card_generator,93,Open Graph image generator,Direct social sharing graphics,307,False,False,MIT,PHP,2026-08-03T23:49:13Z,2026-05-16T08:10:43Z,verified_spotcheck,,,
open-sauced/opengraph,social_card_generator,90,Open Graph image generator,Direct social card generation,,,,,,,,needs_refresh,,,
FoundDream/editorial-card-generator-skill,social_card_generator_ai,99,Editorial card generator skill,AI-assisted editorial/social cards,,,,,,,,needs_refresh,,,
coobird/thumbnailator,thumbnail_processing,72,Java thumbnail library,Thumbnail resizing/composition backend,,,,,,,,needs_refresh,,,
muesli/smartcrop,smart_crop,88,Smart image cropping,Subject-aware thumbnail crops,,,,,,,,needs_refresh,,,
cshum/imagor,image_processing,80,Fast image processing server,Dynamic thumbnails and social variants,,,,,,,,needs_refresh,,,
disintegration/imaging,image_processing,72,Go imaging package,Programmatic thumbnail composition,,,,,,,,needs_refresh,,,
h2non/bimg,image_processing,68,Go bindings for libvips,High-volume social image processing,,,,,,,,needs_refresh,,,
Kocal/open-graph-image-generator,social_card_generator,97,Open Graph image generator,Direct OG/social card generation,,,,,,,,needs_refresh,,,
Dynobase/serverless-opengraph-image-generator,social_card_generator,96,Serverless OG image generator,Direct social preview generation,,,,,,,,needs_refresh,,,
ogimg/ogimg,social_card_generator,97,Open Graph image generator,Direct social cards,,,,,,,,needs_refresh,,,
yznts/oxigen,social_card_generator,94,Open Graph image generator,Direct OG/social images,,,,,,,,needs_refresh,,,
flavioribeiro/video-thumbnail-generator,video_thumbnail,92,Video thumbnail generator,Video/SNS thumbnail extraction,,,,,,,,needs_refresh,,,
ffmpegwasm/ffmpeg.wasm,video_processing,70,FFmpeg for browser,Video frame extraction and social asset processing,,,,,,,,needs_refresh,,,
imgly/background-removal-js,background_removal_ai,94,Browser background removal,Product cutouts for social creatives,,,,,,,,needs_refresh,,,
danielgatis/rembg,background_removal_ai,93,Background removal tool,Product cutouts and thumbnail assets,,,,,,,,needs_refresh,,,
xinntao/Real-ESRGAN,upscaling_ai,88,Real-world image super-resolution,Upscale low-res creative assets,,,,,,,,needs_refresh,,,
TencentARC/GFPGAN,face_restoration_ai,74,Face restoration,Creator thumbnail face cleanup,,,,,,,,needs_refresh,,,
sczhou/CodeFormer,face_restoration_ai,75,Face restoration,Creator/UGC thumbnail enhancement,,,,,,,,needs_refresh,,,
facebookresearch/segment-anything,segmentation_ai,78,Foundation segmentation model,Automatic subject cutouts for social thumbnails,,,,,,,,needs_refresh,,,
facebookresearch/sam2,segmentation_ai,82,Segment Anything for images and video,Product/person cutouts and video asset extraction,,,,,,,,needs_refresh,,,
ultralytics/ultralytics,vision_ai,72,Object detection/segmentation/tracking,Auto subject detection and smart thumbnail crops,,,,,,,,needs_refresh,,,
IDEA-Research/GroundingDINO,vision_ai,74,Open-set object detection,Find products/people for automated compositions,,,,,,,,needs_refresh,,,
opencv/opencv,image_processing,58,Computer vision and image processing library,"Cropping, filters, compositing pipeline foundation",,,,,,,,needs_refresh,,,
Lightricks/LTX-Video,ai_video_engine,78,Open video generation model/tooling,Short social ad and motion creative generation,,,,,,,,needs_refresh,,,
