class_v2,metadata_score,repo,media_type,model_family,repo_quality_score,source_role,specialization,use_case,source_kind,license_spdx,origin_status,class_reason,url
ARCHIVE,58.0,Pixmind-io/awesome-gpt-image-2-prompts,image,gpt_image_2,84,supplemental,GPT Image 2 examples,GPT Image 2 examples,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/Pixmind-io/awesome-gpt-image-2-prompts.git
ARCHIVE,58.0,awesome2027/awesome-2k-nanobananapro-prompts,image,nano_banana_pro,84,supplemental,Large Nano Banana Pro collection,Large Nano Banana Pro collection,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/awesome2027/awesome-2k-nanobananapro-prompts.git
ARCHIVE,57.45,EvoLinkAI/awesome-seedream-5.0-pro-prompts,image,seedream_5_pro,83,supplemental,Seedream 5 Pro examples,Seedream 5 Pro examples,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/EvoLinkAI/awesome-seedream-5.0-pro-prompts.git
ARCHIVE,56.9,tejasashinde/awesome-image-prompts,image,multi_image,82,supplemental,Broad image prompt categories,Broad image prompt categories,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/tejasashinde/awesome-image-prompts.git
ARCHIVE,56.9,ToteBrick/awesome-seedream4.0,image,seedream_4,82,supplemental,Seedream 4.0 examples,Seedream 4.0 examples,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/ToteBrick/awesome-seedream4.0.git
ARCHIVE,56.9,ZeroLu/awesome-seedance,video,seedance_2,82,supplemental,Seedance examples/prompts,Seedance examples/prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/ZeroLu/awesome-seedance.git
ARCHIVE,56.75,GitHub30/Reproducible-Photorealistic-Nano-Banana-Pro-JSON-Prompts,image,nano_banana_pro_photoreal,81,specialized,Photorealistic JSON prompts,Photorealistic JSON prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/GitHub30/Reproducible-Photorealistic-Nano-Banana-Pro-JSON-Prompts.git
ARCHIVE,56.2,anupamme/awesome-minimax-h3-cases,video,minimax_h3_cases,80,specialized,MiniMax H3 cases,MiniMax H3 cases,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/anupamme/awesome-minimax-h3-cases.git
ARCHIVE,56.0,flaqai/awesome-flux-3-prompts,image,flux_3,80,supplemental,flux_3,general_image,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/flaqai/awesome-flux-3-prompts.git
ARCHIVE,55.8,bestimageai/awesome-minimax-h3-video-prompts,video,minimax_h3_hailuo,80,supplemental,MiniMax/Hailuo H3 video prompts,MiniMax/Hailuo H3 video prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/bestimageai/awesome-minimax-h3-video-prompts.git
