active,origin_status,origin_confidence,verified_fork_false,media_type,model_family,repo,url,priority,tier,repo_quality_score,source_role,specialization,use_case,verification_note,notes,source_kind,license_spdx,license_verified,verified_at,prompt_count_claimed,prompt_count_verified,content_structure_verified,evidence_url
True,verified_original,0.99,True,video,multi_video,jijiutong/ai-visual-director,https://github.com/jijiutong/ai-visual-director.git,2,A,89,tooling,storyboard|cinematic_direction|multi_platform_video,storyboard|characters|scenes|cinematic_shots|video_prompting,GitHub metadata checked 2026-08-31: fork=false; MIT; storyboard/scene/cinematic multi-platform video prompting skill.,"Tooling, not treated as core corpus by default.",tooling,MIT,True,2026-08-31,,,False,https://api.github.com/repos/jijiutong/ai-visual-director
True,verified_original,0.99,True,image,multi_image,Hunyuan-PromptEnhancer/PromptEnhancer,https://github.com/Hunyuan-PromptEnhancer/PromptEnhancer.git,2,S,95,tooling,prompt_enhancement|prompt_rewrite,prompt_enhancement|image_generation_quality,GitHub metadata checked 2026-08-31: fork=false; CVPR 2026 prompt rewriting tool for better image generation.,"Tooling, not treated as core corpus by default.",tooling,NOASSERTION,True,2026-08-31,,,False,https://api.github.com/repos/Hunyuan-PromptEnhancer/PromptEnhancer
True,verified_original,0.99,True,image,flux,fairy-root/Flux-Prompt-Generator,https://github.com/fairy-root/Flux-Prompt-Generator.git,2,A,86,tooling,flux_prompt_generator,prompt_generation|flux,GitHub metadata checked 2026-08-31: fork=false; dedicated Flux prompt generator; MIT.,,tooling,MIT,True,2026-08-31,,,False,https://api.github.com/repos/fairy-root/Flux-Prompt-Generator
True,probable_original,0.8,False,image,ideogram,AndyLeAI/Ideogram_JSON_Prompter,https://github.com/AndyLeAI/Ideogram_JSON_Prompter.git,2,B,80,tooling,json_prompting|ideogram,structured_prompting|ideogram,Structured JSON prompting tool for Ideogram; corpus value depends on embedded templates/examples.,,tooling,UNKNOWN,,,,,,
True,probable_original,0.78,False,image,ideogram,rlemson7/ideogrammar,https://github.com/rlemson7/ideogrammar.git,3,C,74,tooling,ideogram_prompt_tooling,prompt_building|ideogram,"Ideogram-related prompt tooling; retained as tooling, not core corpus.",,tooling,UNKNOWN,,,,,,
True,probable_original,0.81,False,video,multi_video,cajias/agentic-video-skills,https://github.com/cajias/agentic-video-skills.git,2,B,81,tooling,agentic_video|video_skills,video_prompting|workflow|storyboard,Agentic video skills/tooling discovered; templates/examples to be extracted if present.,,tooling,UNKNOWN,,,,,,
True,probable_original,0.8,False,video,multi_video,YuuZhen/cinematic-storyboard-director,https://github.com/YuuZhen/cinematic-storyboard-director.git,2,B,80,tooling,cinematic_storyboard,storyboard|cinematic|shot_design,Cinematic storyboard director tooling; template quality to be audited post-clone.,,tooling,UNKNOWN,,,,,,
True,verified_original,0.99,True,video,ltx_video,ObiriecLabs/ltx-director-prompter,https://github.com/ObiriecLabs/ltx-director-prompter.git,2,B,78,tool,ltx_video|cinematography|prompt_builder,cinematic_prompting|camera_direction|ltx_video,GitHub API verified fork=false; dedicated LTX Video/ComfyUI cinematographic prompt builder.,"Tooling, not a prompt corpus by default.",tooling,UNKNOWN,True,2026-08-31,,,False,https://api.github.com/repos/ObiriecLabs/ltx-director-prompter
True,verified_original,0.99,True,video,cogvideox_hunyuan,TemporalLabsLLC-SOL/TemporalPromptEngine,https://github.com/TemporalLabsLLC-SOL/TemporalPromptEngine.git,2,B,81,tool,cogvideox|hunyuan_video|audio|temporal_prompting,video_prompt_engineering|text_to_video|audio_video,GitHub API verified fork=false; prompt-engineering toolkit using CogVideoX and related video/audio workflows.,Tooling coverage for models that lack large dedicated prompt corpora.,tooling,UNKNOWN,True,2026-08-31,,,False,https://api.github.com/repos/TemporalLabsLLC-SOL/TemporalPromptEngine
True,verified_original,0.99,True,video,higgsfield,OSideMedia/higgsfield-ai-prompt-skill,https://github.com/OSideMedia/higgsfield-ai-prompt-skill.git,1,A,89,tool,higgsfield|seedance_2_5|kling_motion_control|cinematic_prompting|character_consistency,ai_filmmaking|cinematic|motion_control|character_consistency|video_edit_extend,GitHub API verified fork=false on 2026-08-31; MIT license; repo describes 32 sub-skills and 18 templates for Higgsfield/Seedance/Kling workflows.,Verified v5 tooling; not counted as corpus by default.; Repository description states 18 templates; this is not treated as a prompt-count claim.,tooling,MIT,True,2026-08-31,,,False,https://api.github.com/repos/OSideMedia/higgsfield-ai-prompt-skill
