model,media,structure,strong_at,hint
cogvideox,video,scene + action + temporal progression + camera + style,open video workflows and prompt-engineered text-to-video,"Use concrete action verbs, temporal ordering and camera direction; avoid static image-only wording."
flux,image,subject + composition + photographic/art detail + light/material,"photorealism, texture, structured visual detail","Prioritize clear subject, spatial relationships, materials, lighting and camera language."
gpt4o_gpt_image_1,image,descriptive natural language + visual intent,"conceptual image generation, styles, visual examples",Describe the full scene and desired visual intent; preserve source attribution when adapting examples.
gpt_image_2,image,natural language + layout/text constraints + materials/lighting,"instruction following, editing, text/layout, product/design","State subject, composition, exact text/layout, materials, lighting, camera, and what must remain unchanged."
hailuo,video,subject/action + camera + motion intensity + scene,dynamic short video,"Use explicit action verbs, camera movement and motion intensity."
higgsfield,video,creative intent + shot design + camera/motion control + character consistency + temporal beat + edit/extend constraints,"cinematic ads, camera moves, character consistency, Seedance/Kling workflows","State the cinematic objective first, then camera/motion behavior, identity consistency, timing, and edit/extend constraints. Avoid mixing incompatible camera moves."
hunyuan_video,video,scene + subject motion + camera + style + temporal consistency,open video generation and stylized motion workflows,"Specify continuous motion, camera behavior and visual style without contradictory actions."
ideogram,image,subject + composition + explicit typography/text + design style,"typography, posters, logos, UI/product mockups","Quote exact text, state placement/hierarchy, then describe design style, subject and composition."
kling,video,start state + action/physics + camera + end state,"motion realism, physical transitions",Describe motion mechanics and end state clearly; avoid conflicting movement instructions.
ltx_video,video,shot/scene + subject action + camera movement + temporal beats + dialogue/audio + settings,"reproducible video prompts, camera movement, product video, dialogue and synchronized audio","Describe one temporal sequence at a time, keep camera motion separate from subject motion, and preserve generation settings/provenance."
luma,video,scene + subject motion + camera path,dreamlike/cinematic motion,Describe the camera path and one dominant subject motion.
midjourney,image,concise visual phrase + style + composition + parameters,"aesthetics, fashion, editorial, concept art",Use concise visual descriptors; add aspect ratio and stylization parameters only when relevant.
mochi_video,video,scene + action + camera + visual mood + duration-aware progression,open text-to-video experiments,Favor a coherent single scene with explicit action and camera movement.
nano_banana,image,scene + subject + environment + light + camera/lens + edit constraints,"natural-language editing, product/realistic imagery","Be explicit about what changes and what stays fixed; specify angle, lens and lighting."
pika,video,subject transformation/motion + camera + effect,short transformations and effects,Keep the central transformation/effect explicit and concise.
qwen_image_3,image,deliverable/use-case + goal + scene/subject + style + composition + exact text/data + constraints,"text-heavy layouts, multilingual typography, e-commerce, infographics, consistent series","Define the deliverable first, quote exact on-image copy, state hierarchy and constraints, and separate facts from visual style."
runway,video,subject motion + camera motion + scene motion,image-to-video motion direction,"If an input image already defines appearance, spend text budget on motion and camera behavior."
seedance,video,shot sequence + subject action + camera movement + timing/transitions,"cinematic sequence, ads, UGC, multi-shot motion",Write the temporal sequence explicitly and separate subject motion from camera motion.
seedream,image,subject + style + layout + commercial design/text,"commercial visuals, posters, design-heavy images","Specify layout hierarchy, key text, brand mood, subject and visual style."
sora,video,scene progression + action + camera + cinematic detail,coherent scene development and cinematic direction,"Describe how the scene evolves over time, not just a static frame."
stable_diffusion,image,positive prompt + optional negative prompt + model/sampler context,"custom workflows, reproducibility, local control",Keep positive and negative concepts separable and preserve model-specific parameters outside the semantic prompt.
veo,video,shot + camera + action + environment + cinematic treatment + audio if needed,cinematic scene direction and audiovisual prompting,"Define shot type, camera behavior, action, environment and optional dialogue/audio."
wan,video,subject + action + camera + scene + temporal transition,general text/image-to-video workflows,"Keep motion, scene and camera instructions distinct."
z_image,image,subject + visual style + composition + lighting + material/camera,fast image generation and editing workflows,"Keep subject and composition explicit; use precise material, lighting and edit-preservation language."
