class_v2,metadata_score,repo,media_type,model_family,repo_quality_score,source_role,specialization,use_case,source_kind,license_spdx,origin_status,class_reason,url
EXTENDED,83.1,flaqai/awesome-qwen-image-3,image,qwen_image_3,88,primary,qwen_image_3|text_rendering|commercial_illustration,text_to_image|typography|consistent_series|commercial_illustration,corpus,MIT,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/flaqai/awesome-qwen-image-3.git
EXTENDED,72.3,ImgEdify/Awesome-GPT4o-Image-Prompts,image,gpt4o_gpt_image_1,88,supplemental,gpt4o_prompt_examples,general_image|styles|prompt_examples,corpus,MIT,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/ImgEdify/Awesome-GPT4o-Image-Prompts.git
EXTENDED,70.65,galeep/ideogram-typography-prompts,image,ideogram,85,specialized,typography,typography|poster|text_rendering,corpus,BSD-3-Clause,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/galeep/ideogram-typography-prompts.git
EXTENDED,69.2,fairy-root/Flux-Prompt-Generator,image,flux,86,tooling,flux_prompt_generator,prompt_generation|flux,tooling,MIT,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/fairy-root/Flux-Prompt-Generator.git
EXTENDED,69.15,Hunyuan-PromptEnhancer/PromptEnhancer,image,multi_image,95,tooling,prompt_enhancement|prompt_rewrite,prompt_enhancement|image_generation_quality,tooling,NOASSERTION,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Hunyuan-PromptEnhancer/PromptEnhancer.git
EXTENDED,67.6,Toolcentral-ai/awesome-gpt-image-2-prompts,image,gpt_image_2,92,primary,gpt_image_2,gpt_image_2,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Toolcentral-ai/awesome-gpt-image-2-prompts.git
EXTENDED,67.6,imagineVid/Awesome-flux-3-prompts-and-skills,image,flux,92,primary,flux,flux,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/imagineVid/Awesome-flux-3-prompts-and-skills.git
EXTENDED,67.6,gptimage2prompts/gpt-image-2-prompts,image,gpt_image_2,92,primary,gpt_image_2,gpt_image_2,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/gptimage2prompts/gpt-image-2-prompts.git
EXTENDED,67.6,YouMind-OpenLab/awesome-seedream-4.5,image,seedream_4_5,92,primary,seedream_4_5,seedream_4_5,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/YouMind-OpenLab/awesome-seedream-4.5.git
EXTENDED,67.6,Lizhizhiyi/awesome-ai-image-prompts,image,multi_image,92,primary,multi_image,multi_image,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Lizhizhiyi/awesome-ai-image-prompts.git
EXTENDED,67.6,AIGC-Hackers/awesome-ai-image-prompts-claude,image,multi_image,92,primary,multi_image,multi_image,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/AIGC-Hackers/awesome-ai-image-prompts-claude.git
EXTENDED,66.8,ObiriecLabs/ltx-director-prompter,video,ltx_video,78,tool,ltx_video|cinematography|prompt_builder,cinematic_prompting|camera_direction|ltx_video,tooling,UNKNOWN,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/ObiriecLabs/ltx-director-prompter.git
EXTENDED,63.75,flaqai/awesome_seedance_2_5,video,seedance_2_5,81,specialized,seedance_2_5,cinematic|general_video,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/flaqai/awesome_seedance_2_5.git
EXTENDED,62.2,cliprise/awesome-ai-video-ads-prompts,video,multi_video,78,specialized,video_ads,advertising|social_ads|performance_creative,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/cliprise/awesome-ai-video-ads-prompts.git
EXTENDED,62.2,cliprise/awesome-ai-product-video-prompts,video,multi_video,78,specialized,product_video,product_video|ecommerce|demo,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/cliprise/awesome-ai-product-video-prompts.git
EXTENDED,61.7,Eric-Lautanen/seamless-ai-video-prompt-template,video,cinematic_prompting,78,supplemental,cinematic_prompting,cinematic_prompting,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Eric-Lautanen/seamless-ai-video-prompt-template.git
EXTENDED,61.7,zhouwei713/fpv-immersive-video-prompting,video,cinematic_prompting,78,supplemental,cinematic_prompting,cinematic_prompting,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/zhouwei713/fpv-immersive-video-prompting.git
EXTENDED,61.65,cajias/agentic-video-skills,video,multi_video,81,tooling,agentic_video|video_skills,video_prompting|workflow|storyboard,tooling,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/cajias/agentic-video-skills.git
EXTENDED,61.55,wuwangzhang1216/DirectorSKILL,video,cinematic_prompting,77,specialized,Directing/cinematic prompting,Directing/cinematic prompting,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/wuwangzhang1216/DirectorSKILL.git
EXTENDED,61.45,TemporalLabsLLC-SOL/TemporalPromptEngine,video,cogvideox_hunyuan,81,tool,cogvideox|hunyuan_video|audio|temporal_prompting,video_prompt_engineering|text_to_video|audio_video,tooling,UNKNOWN,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/TemporalLabsLLC-SOL/TemporalPromptEngine.git
