active,origin_status,origin_confidence,verified_fork_false,media_type,model_family,repo,url,priority,tier,repo_quality_score,source_role,specialization,use_case,verification_note,notes,source_kind,license_spdx,license_verified,verified_at,prompt_count_claimed,prompt_count_verified,content_structure_verified,evidence_url
True,verified_original,0.96,True,image,multi_image,cliprise/awesome-ai-product-photography-prompts,https://github.com/cliprise/awesome-ai-product-photography-prompts.git,2,B,80,specialized,product_photography,product_photography|ecommerce,GitHub metadata checked 2026-08-31: fork=false; dedicated product photography prompt repo.,,corpus,UNKNOWN,True,2026-08-31,,,False,https://api.github.com/repos/cliprise/awesome-ai-product-photography-prompts
True,verified_original,0.96,True,video,multi_video,cliprise/awesome-ai-ugc-video-prompts,https://github.com/cliprise/awesome-ai-ugc-video-prompts.git,2,B,82,specialized,ugc_video,ugc|creator_ads|tiktok|reels|product_demo,GitHub metadata checked 2026-08-31: fork=false; dedicated UGC prompt repo.,,corpus,UNKNOWN,True,2026-08-31,,,False,https://api.github.com/repos/cliprise/awesome-ai-ugc-video-prompts
True,verified_original,0.99,True,image,gpt_image_2,wuyoscar/GPT-Image2-Skill,https://github.com/wuyoscar/GPT-Image2-Skill.git,1,S,97,primary,prompt_library|agent_skill|image_editing,general_image|image_editing|research_figures|prompt_templates,GitHub metadata checked 2026-08-31: fork=false; prompt gallery/library + agent skill + CLI; MIT; high activity.,High-value OpenAI GPT Image 2 prompt library and tooling.,corpus,MIT,True,2026-08-31,,,False,https://api.github.com/repos/wuyoscar/GPT-Image2-Skill
True,verified_original,0.99,True,image,gpt4o_gpt_image_1,jamez-bondos/awesome-gpt4o-images,https://github.com/jamez-bondos/awesome-gpt4o-images.git,1,S,96,primary,gpt4o|gpt_image_1|curated_gallery,general_image|art|prompt_examples,GitHub metadata checked 2026-08-31: fork=false; original source of a large fork network; curated prompts/images.,Important historical/curated OpenAI image prompt source.,corpus,NOASSERTION,True,2026-08-31,,,False,https://api.github.com/repos/jamez-bondos/awesome-gpt4o-images
True,verified_original,0.99,True,image,ideogram,EvoLinkAI/awesome-ideogram-4.0-prompts,https://github.com/EvoLinkAI/awesome-ideogram-4.0-prompts.git,1,A,92,primary,ideogram_4|typography|product_ui_mockups,typography|poster|portrait|product|ui_mockup,GitHub metadata checked 2026-08-31: fork=false; dedicated Ideogram 4.0 prompt/image collection.,,corpus,NOASSERTION,True,2026-08-31,,,False,https://api.github.com/repos/EvoLinkAI/awesome-ideogram-4.0-prompts
True,verified_original,0.99,True,video,multi_video,jijiutong/ai-visual-director,https://github.com/jijiutong/ai-visual-director.git,2,A,89,tooling,storyboard|cinematic_direction|multi_platform_video,storyboard|characters|scenes|cinematic_shots|video_prompting,GitHub metadata checked 2026-08-31: fork=false; MIT; storyboard/scene/cinematic multi-platform video prompting skill.,"Tooling, not treated as core corpus by default.",tooling,MIT,True,2026-08-31,,,False,https://api.github.com/repos/jijiutong/ai-visual-director
True,verified_original,0.99,True,image,multi_image,Hunyuan-PromptEnhancer/PromptEnhancer,https://github.com/Hunyuan-PromptEnhancer/PromptEnhancer.git,2,S,95,tooling,prompt_enhancement|prompt_rewrite,prompt_enhancement|image_generation_quality,GitHub metadata checked 2026-08-31: fork=false; CVPR 2026 prompt rewriting tool for better image generation.,"Tooling, not treated as core corpus by default.",tooling,NOASSERTION,True,2026-08-31,,,False,https://api.github.com/repos/Hunyuan-PromptEnhancer/PromptEnhancer
True,verified_original,0.99,True,image,gpt4o_gpt_image_1,ImgEdify/Awesome-GPT4o-Image-Prompts,https://github.com/ImgEdify/Awesome-GPT4o-Image-Prompts.git,2,A,88,supplemental,gpt4o_prompt_examples,general_image|styles|prompt_examples,GitHub metadata checked 2026-08-31: fork=false; curated GPT-4o image prompt dictionary; MIT.,,corpus,MIT,True,2026-08-31,,,False,https://api.github.com/repos/ImgEdify/Awesome-GPT4o-Image-Prompts
True,verified_original,0.99,True,image,flux,fairy-root/Flux-Prompt-Generator,https://github.com/fairy-root/Flux-Prompt-Generator.git,2,A,86,tooling,flux_prompt_generator,prompt_generation|flux,GitHub metadata checked 2026-08-31: fork=false; dedicated Flux prompt generator; MIT.,,tooling,MIT,True,2026-08-31,,,False,https://api.github.com/repos/fairy-root/Flux-Prompt-Generator
True,verified_original,0.99,True,image,ideogram,galeep/ideogram-typography-prompts,https://github.com/galeep/ideogram-typography-prompts.git,2,A,85,specialized,typography,typography|poster|text_rendering,GitHub metadata checked 2026-08-31: fork=false; dedicated Ideogram typography prompts; BSD-3-Clause.,,corpus,BSD-3-Clause,True,2026-08-31,,,False,https://api.github.com/repos/galeep/ideogram-typography-prompts
True,verified_original,0.97,True,image,qwen_image_3,flaqai/awesome-qwen-image-3,https://github.com/flaqai/awesome-qwen-image-3.git,1,A,88,primary,qwen_image_3|text_rendering|commercial_illustration,text_to_image|typography|consistent_series|commercial_illustration,"GitHub API verified fork=false on 2026-08-31. README verified 144 original prompt recipes across 18 categories, 16 reusable templates, and multilingual editions. GitHub repository description separately claims 2000+; use README contents as the validated corpus count.",v5 verified corpus. README contains concrete prompt library structure; description-count discrepancy retained as metadata caveat.,corpus,MIT,True,2026-08-31,144,144,True,https://github.com/flaqai/awesome-qwen-image-3/blob/main/README.md
True,verified_original,0.99,True,video,ltx_video,quanluo/ltx-video-prompts,https://github.com/quanluo/ltx-video-prompts.git,1,A,84,primary,ltx_video|reproducible_prompt_cookbook,text_to_video|cinematic|reproducibility,GitHub API verified fork=false; description says reproducible LTX video prompt cookbook with settings and provenance.,New v5 verified video corpus.,corpus,MIT,True,2026-08-31,,,True,https://api.github.com/repos/quanluo/ltx-video-prompts/contents/prompts
True,verified_original,0.99,True,video,ltx_video,ObiriecLabs/ltx-director-prompter,https://github.com/ObiriecLabs/ltx-director-prompter.git,2,B,78,tool,ltx_video|cinematography|prompt_builder,cinematic_prompting|camera_direction|ltx_video,GitHub API verified fork=false; dedicated LTX Video/ComfyUI cinematographic prompt builder.,"Tooling, not a prompt corpus by default.",tooling,UNKNOWN,True,2026-08-31,,,False,https://api.github.com/repos/ObiriecLabs/ltx-director-prompter
True,verified_original,0.99,True,video,cogvideox_hunyuan,TemporalLabsLLC-SOL/TemporalPromptEngine,https://github.com/TemporalLabsLLC-SOL/TemporalPromptEngine.git,2,B,81,tool,cogvideox|hunyuan_video|audio|temporal_prompting,video_prompt_engineering|text_to_video|audio_video,GitHub API verified fork=false; prompt-engineering toolkit using CogVideoX and related video/audio workflows.,Tooling coverage for models that lack large dedicated prompt corpora.,tooling,UNKNOWN,True,2026-08-31,,,False,https://api.github.com/repos/TemporalLabsLLC-SOL/TemporalPromptEngine
True,verified_original,0.99,True,video,higgsfield,OSideMedia/higgsfield-ai-prompt-skill,https://github.com/OSideMedia/higgsfield-ai-prompt-skill.git,1,A,89,tool,higgsfield|seedance_2_5|kling_motion_control|cinematic_prompting|character_consistency,ai_filmmaking|cinematic|motion_control|character_consistency|video_edit_extend,GitHub API verified fork=false on 2026-08-31; MIT license; repo describes 32 sub-skills and 18 templates for Higgsfield/Seedance/Kling workflows.,Verified v5 tooling; not counted as corpus by default.; Repository description states 18 templates; this is not treated as a prompt-count claim.,tooling,MIT,True,2026-08-31,,,False,https://api.github.com/repos/OSideMedia/higgsfield-ai-prompt-skill
